,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
33,0.188,0.192,0.18966666666666665,0.189,0.0016996731711975965,0,8,272384,all_reduce,8,8
34,0.19,0.196,0.19333333333333336,0.194,0.0024944382578492965,0,8,280576,all_reduce,8,8
35,0.189,0.195,0.19233333333333333,0.193,0.0024944382578492965,0,8,288768,all_reduce,8,8
36,0.194,0.196,0.19466666666666668,0.194,0.0009428090415820641,0,8,296960,all_reduce,8,8
37,0.196,0.199,0.19766666666666666,0.198,0.0012472191289246482,0,8,305152,all_reduce,8,8
38,0.196,0.202,0.19933333333333336,0.2,0.0024944382578492965,0,8,313344,all_reduce,8,8
39,0.2,0.20600000000000002,0.2026666666666667,0.202,0.0024944382578492965,0,8,321536,all_reduce,8,8
40,0.20600000000000002,0.20800000000000002,0.207,0.20700000000000002,0.0008164965809277268,0,8,329728,all_reduce,8,8
41,0.221,0.229,0.226,0.228,0.0035590260840104404,0,8,337920,all_reduce,8,8
42,0.224,0.231,0.227,0.226,0.0029439202887759515,0,8,346112,all_reduce,8,8
43,0.221,0.228,0.225,0.226,0.0029439202887759515,0,8,354304,all_reduce,8,8
44,0.223,0.23500000000000001,0.22766666666666668,0.225,0.005249338582674546,0,8,362496,all_reduce,8,8
45,0.226,0.234,0.2306666666666667,0.232,0.003399346342395193,0,8,370688,all_reduce,8,8
46,0.225,0.229,0.227,0.227,0.0016329931618554536,0,8,378880,all_reduce,8,8
47,0.227,0.23700000000000002,0.23233333333333336,0.233,0.0041096093353126546,0,8,387072,all_reduce,8,8
48,0.23800000000000002,0.241,0.23966666666666667,0.24,0.0012472191289246359,0,8,395264,all_reduce,8,8
49,0.251,0.262,0.256,0.255,0.004546060565661956,0,8,403456,all_reduce,8,8
50,0.264,0.27,0.26733333333333337,0.268,0.0024944382578492965,0,8,411648,all_reduce,8,8
51,0.262,0.264,0.263,0.263,0.0008164965809277268,0,8,419840,all_reduce,8,8
52,0.261,0.265,0.26333333333333336,0.264,0.0016996731711975965,0,8,428032,all_reduce,8,8
53,0.26,0.265,0.263,0.264,0.0021602468994692888,0,8,436224,all_reduce,8,8
54,0.255,0.264,0.25866666666666666,0.257,0.0038586123009300786,0,8,444416,all_reduce,8,8
55,0.262,0.268,0.26566666666666666,0.267,0.002624669291337273,0,8,452608,all_reduce,8,8
56,0.28300000000000003,0.292,0.2863333333333334,0.28400000000000003,0.004027681991198168,0,8,460800,all_reduce,8,8
57,0.306,0.307,0.30633333333333335,0.306,0.00047140452079103207,0,8,468992,all_reduce,8,8
58,0.302,0.317,0.3093333333333333,0.309,0.006128258770283417,0,8,477184,all_reduce,8,8
59,0.302,0.309,0.3056666666666667,0.306,0.002867441755680878,0,8,485376,all_reduce,8,8
